1714003 	tilestack 	OBJECT 	+18.1369090 	-40.5855100 	Ks 	+4.000000 	2010-04-19 07:44:56.7 	VVV 	1 	895 	b202
1714159 	tilestack 	OBJECT 	+18.1950540 	-39.2917000 	Ks 	+4.000000 	2010-04-19 08:10:15.5 	VVV 	1 	967 	b203j
1717293 	tilestack 	OBJECT 	+18.2515690 	-37.9944000 	Ks 	+4.000000 	2010-04-21 07:16:20.0 	VVV 	1 	562 	b204j
1845152 	tilestack 	OBJECT 	+18.3065770 	-36.6940900 	Ks 	+4.000000 	2010-08-18 03:27:59.8 	VVV 	1 	437 	b205v-1
1853982 	tilestack 	OBJECT 	+18.3602340 	-35.3910200 	Ks 	+4.000000 	2010-08-26 04:02:43.1 	VVV 	1 	484 	b206v-1
1845475 	tilestack 	OBJECT 	+18.4126410 	-34.0856700 	Ks 	+4.000000 	2010-08-18 05:18:02.2 	VVV 	1 	591 	b207v-1
1707053 	tilestack 	OBJECT 	+18.0769790 	-41.8756500 	Ks 	+4.000000 	2010-04-12 08:52:48.2 	VVV 	1 	1124 	b201j
1719669 	tilestack 	OBJECT 	+18.4639200 	-32.7781900 	Ks 	+4.000000 	2010-04-22 06:35:51.4 	VVV 	1 	759 	b208j
1814848 	tilestack 	OBJECT 	+18.5141370 	-31.4689300 	Ks 	+4.000000 	2010-07-27 07:00:36.7 	VVV 	1 	816 	b209v-1
1719981 	tilestack 	OBJECT 	+18.5634380 	-30.1580800 	Ks 	+4.000000 	2010-04-22 07:30:06.2 	VVV 	1 	903 	b210j
1726378 	tilestack 	OBJECT 	+18.6118610 	-28.8460500 	Ks 	+4.000000 	2010-05-09 07:27:31.3 	VVV 	1 	273 	b211v-1
1710175 	tilestack 	OBJECT 	+18.6595140 	-27.5328800 	Ks 	+4.000000 	2010-04-15 08:46:18.8 	VVV 	1 	346 	b212v-1
1685178 	tilestack 	OBJECT 	+18.7064830 	-26.2187900 	Ks 	+4.000000 	2010-03-27 09:27:36.5 	VVV 	1 	1107 	b213j
1710045 	tilestack 	OBJECT 	+18.7528060 	-24.9041900 	Ks 	+4.000000 	2010-04-15 08:30:02.6 	VVV 	1 	286 	b214v-1
1772695 	tilestack 	OBJECT 	+17.9910870 	-41.3602900 	Ks 	+4.000000 	2010-06-27 08:25:24.0 	VVV 	1 	914 	b215v-1
1714081 	tilestack 	OBJECT 	+18.0522370 	-40.0799800 	Ks 	+4.000000 	2010-04-19 07:57:33.6 	VVV 	1 	931 	b216j
1717215 	tilestack 	OBJECT 	+18.1115400 	-38.7953500 	Ks 	+4.000000 	2010-04-21 07:04:25.7 	VVV 	1 	526 	b217j
1843887 	tilestack 	OBJECT 	+18.1691350 	-37.5070000 	Ks 	+4.000000 	2010-08-17 05:09:38.7 	VVV 	1 	658 	b218v-1
1717449 	tilestack 	OBJECT 	+18.2252270 	-36.2149400 	Ks 	+4.000000 	2010-04-21 07:43:24.7 	VVV 	1 	634 	b219j
1853956 	tilestack 	OBJECT 	+18.2798700 	-34.9198200 	Ks 	+4.000000 	2010-08-26 03:58:09.9 	VVV 	1 	472 	b220v-1
1717761 	tilestack 	OBJECT 	+18.3332410 	-33.6219000 	Ks 	+4.000000 	2010-04-21 08:43:23.5 	VVV 	1 	778 	b221j
1719747 	tilestack 	OBJECT 	+18.3854140 	-32.3214500 	Ks 	+4.000000 	2010-04-22 06:48:03.3 	VVV 	1 	795 	b222j
1719903 	tilestack 	OBJECT 	+18.4365050 	-31.0188200 	Ks 	+4.000000 	2010-04-22 07:18:21.9 	VVV 	1 	867 	b223j
1720059 	tilestack 	OBJECT 	+18.4866010 	-29.7144100 	Ks 	+4.000000 	2010-04-22 07:42:49.2 	VVV 	1 	939 	b224j
1682622 	tilestack 	OBJECT 	+18.5357950 	-28.4082100 	Ks 	+4.000000 	2010-03-26 09:04:03.9 	VVV 	1 	927 	b225j
1682778 	tilestack 	OBJECT 	+18.5841750 	-27.1006300 	Ks 	+4.000000 	2010-03-26 09:27:43.0 	VVV 	1 	999 	b226j
1685100 	tilestack 	OBJECT 	+18.6318070 	-25.7919500 	Ks 	+4.000000 	2010-03-27 09:15:39.8 	VVV 	1 	1071 	b227j
1814404 	tilestack 	OBJECT 	+18.6787770 	-24.4822000 	Ks 	+4.000000 	2010-07-27 05:02:20.6 	VVV 	1 	612 	b228j
1689203 	tilestack 	OBJECT 	+17.9066110 	-40.8306600 	Ks 	+4.000000 	2010-03-29 07:32:39.0 	VVV 	1 	848 	b229j
1722171 	tilestack 	OBJECT 	+17.9688640 	-39.5601000 	Ks 	+4.000000 	2010-04-23 06:22:49.4 	VVV 	1 	755 	b230j
1722327 	tilestack 	OBJECT 	+18.0292380 	-38.2848600 	Ks 	+4.000000 	2010-04-23 06:46:46.2 	VVV 	1 	827 	b231j
1722483 	tilestack 	OBJECT 	+18.0878940 	-37.0051400 	Ks 	+4.000000 	2010-04-23 07:21:30.9 	VVV 	1 	899 	b232j
1723107 	tilestack 	OBJECT 	+18.1449510 	-35.7215300 	Ks 	+4.000000 	2010-04-23 09:27:15.4 	VVV 	1 	1187 	b233j
